Name,Calories per serve,Category,When to eat,Plan,veg,clusterID,Main Meal,Total Fat,Cholesterol,sodium,Potassium,Total Carbohydrates,sugars,Protein,iron
SALADDRESSINGS,457,Vegeitables,Launch,G,1,2345,0,45,0,836,67,16,16,0.8,0.8
AVOCADO,160,Fruit,Dinner,G,1,2345,0,15,0,7,485,9,0.7,2,0.6
SWEETPOTATOES,85,Other,Launch,LG,1,123450,0,0.1,0,55,337,20,4.2,1.6,0.6
FRIES,311,Other,Breakfast,G,1,2345,0,15,0,210,579,41,0.3,3.4,0.8
POTATOES,76,Other,Breakfast,LG,1,123450,0,0.1,0,6,421,17,0.8,2,0.8
OTHERVEGGIES,32,Vegeitables,Breakfast/Dinner,LG,1,123450,0,0.1,0,35,169,13,3.1,2.9,4.6
MELONS,33,Fruit,Launch/Dinner,LG,1,123450,0,0.2,0,16,267,8,8,0.8,0.2
BERRIES,57,Fruit,Launch/Dinner,LG,1,123450,0,0.3,0,1,77,10,0.7,0.3,0
BANANAS,88,Fruit,Launch/Dinner,G,1,2345,0,0.3,0,1,358,23,12,1.1,0.3
APPLES,52,Fruit,Breakfast/Launch,LG,1,123450,0,0.2,0,1,107,14,10,0.3,0.1
ORANGES,47,Fruit,Breakfast/Launch/Dinner,LG,1,123450,0,0.1,0,0,181,12,9,0.9,0.1
